DATAFLOW,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2008,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2009,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2010,0.9,
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2011,1.1,b
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2012,1.0,
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2013,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2014,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2015,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2016,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,RS,2017,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,RU,2006,4.5,
ESTAT:TPS00206(1.0),A,GDIVRT,RU,2007,4.8,
ESTAT:TPS00206(1.0),A,GDIVRT,RU,2008,5.0,
ESTAT:TPS00206(1.0),A,GDIVRT,RU,2009,4.9,
ESTAT:TPS00206(1.0),A,GDIVRT,RU,2010,4.5,
ESTAT:TPS00206(1.0),A,GDIVRT,RU,2011,4.7,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2006,2.2,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2007,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2008,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2009,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2010,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2011,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2012,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2013,2.8,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2014,2.7,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2015,2.5,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2016,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,SE,2017,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2006,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2007,1.3,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2008,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2009,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2010,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2011,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2012,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2013,1.1,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2014,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2015,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2016,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,SI,2017,1.2,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2006,2.4,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2007,2.3,
ESTAT:TPS00206(1.0),A,GDIVRT,SK,2008,2.4,
